"18,810,328",13%,"2,426,645",12%,"3,245,324",2%
"31,140,952",22%,"3,485,586",17%,"14,914,374",9%
"11,258,624",8%,"2,776,289",13%,"6,188,440",4%
"18,332,143",13%,"807,031",4%,"40,847,578",25%
"8,576,289",6%,"168,115",1%,"1,469,027",1%
"35,251,073",24%,"6,829,970",32%,"6,095,249",4%
"801,691",1%,"134,635",1%,-,0%
"8,325,069",6%,"2,818,233",14%,"2,084,922",1%
"6,655,206",5%,"967,002",5%,"76,268,863",48%
"2,140,940",2%,"194,696",1%,"9,841,832",6%
"141,292,315",100%,"20,608,202",100%,"160,955,609",100%
"12,553,230",11%,"1,298,154",10%,"3,354,374",3%
"26,148,008",23%,"3,232,551",24%,"10,183,855",8%
"10,248,825",9%,"1,119,575",8%,"4,598,376",4%
"19,070,480",17%,"117,992",1%,"31,812,397",25%
"4,956,284",4%,"421,997",3%,"1,438,601",1%
"23,799,728",21%,"4,894,422",37%,"5,764,113",4%
"978,973",1%,"246,701",2%,-,0%
"8,179,597",7%,"1,159,385",9%,"1,625,719",1%
"6,184,783",5%,"660,551",5%,"61,880,836",48%
"1,965,705",2%,"196,702",1%,"8,130,127",6%
"114,085,613",100%,"13,348,030",100%,"128,788,398",100%
