GRI STANDARD,DISCLOSURE,LOCATION,PAGE
,2-1 Organizational details,About us,
,"2-2 Entities included in the organization’s
sustainability reporting","About our integrated
report",
,"2-3 Reporting period, frequency and contact point","About our integrated
report",
,2-5 External assurance,"About our integrated
report",
,"2-6 Activities, value chain and other business
relationships",About us,
,2-7 Employees,Human capital and culture,
,2-8 Workers who are not employees,Human capital and culture,
,2-9 Governance structure and composition,How we are led,
,"2-10 Nomination and selection of the highest
governance body",How we are led,
,2-11 Chair of the highest governance body,How we are led,
,"2-12 Role of the highest governance body in
overseeing the management of impacts",How we are led,
,"2-13 Delegation of responsibility for managing
impacts",How we are led,
,"2-14 Role of the highest governance body in
sustainability reporting",How we are led,
,2-15 Conflicts of interest,How we are led,
,"2-17 Collective knowledge of the highest
governance body",How we are led,
,"2-18 Evaluation of the performance of the highest
governance body",How we are led,
,2-19 Remuneration policies,How we are led,
,2-20 Process to determine remuneration,How we are led,
,"2-22 Statement on sustainable development
strategy",How we create value,
,2-23 Policy commitments,How we create value,
,2-24 Embedding policy commitments,How we create value,
,2-25 Processes to remediate negative impacts,How we create value,
,"2-26 Mechanisms for seeking advice and raising
concerns",How we create value,
,2-27 Compliance with laws and regulations,Risk management,
