Standard/ Interpretation,Key Requirements,"Applicable for financial
years beginning on/after"
"Amendment to IAS 1,
Presentation of items
of other comprehensive
income (OCI)","The amendment requires entities to separate items presented in OCI into
two groups, based on whether or not they may be recycled to income
statement in the future. Items that will not be recycled such as revaluation
gains on property, plant and equipment will be presented separately from
items that may be recycled in the future, such as deferred gains and losses
on cash flow hedges.",1-Jul-12
"IFRS 10. ‘Consolidated
financial statements’","IFRS 10 changes the definition of control so that the same criteria are
applied to all entities to determine control. The revised definition of control
focuses on the need to have both power and variable returns before control
is present. All entities will need to consider the new guidance. The core
principle that a consolidated entity presents a parent and its subsidiaries
as if they are a single entity remains unchanged, as do the mechanics of
consolidation.",1-Jan-13
"IFRS 12, ‘Disclosure of
interests in other entities’","“IFRS 12 sets out the required disclosures for entities reporting under
IFRS 10 and IFRS 11 and it replaced the disclosure requirements currently
found in IAS 28, ‘Investments in associates’. IFRS 12 requires entities to
disclose information that helps financial statement readers to evaluate the
nature, risks and financial effects associated with the entity’s interests in
subsidiaries, associates, joint arrangements and unconsolidated structured
entities.",1-Jan-13
"IFRS 13, ‘Fair value
measurement’","IFRS 13 explains how to measure fair value and aims to enhance fair value
disclosures; it does not say when to measure fair value or require additional
fair value measurements.",1-Jan-13
