Section,Recommendations,Location,Page
,"a) We describe the Board’s oversight of climate related risk
and opportunities",How we are led,
,"b) We describe management’s role in assessing and
managing climate related risk and opportunities",,
,"a) We describe the climate-related risks and opportunities
the organisation has identified over the short, medium, and
long term",How we create value,
,"b) We describe the impact of climate-related risks and
opportunities on the organisation’s businesses, strategy, and
financial planning",,
,"c) We describe the resilience of the organisation’s strategy,
taking into consideration different climate-related scenarios,
including a two degree Celsius or lower scenario.",,
,"a) We describe the organisation’s process for identifying,
assessing, and managing climate-related risks",Risk management,
,"b) We describe the organisation’s processes for managing
climate-related risks",,
,"c) We describe how processes for identifying, assessing,
and managing climate-related risks are integrated into the
organisation’s overall risk management.",,
,"a) We disclose the metrics used by the organisation to
assess climate-related risks and opportunities in line with its
strategy and risk management process.",How we create value,
,"b) We disclose Scope 1, Scope 2, and, if appropriate, Scope 3
greenhouse gas (GHG) emissions, and the related risks.",,
,"c) We describe the targets used by the organisation to
manage climate-related risks and opportunities and
performance against targets",,
