Column,"Leasehold
land",Buildings,"Leasehold
improvements","Motor
vehicles","Furniture
fittings &
equipment","Work in
progress",Total
,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
,"1,004,027","2,283,811","164,639",171,"957,940","192,195","4,602,783"
,-,-,"2,733","21,813","117,388","87,945","229,879"
,-,-,"5,237",-,"102,221","(107,458)",-
,-,-,-,-,(123),-,(123)
,-,-,-,"(15,733)","(21,047)",-,"(36,780)"
,-,-,-,"15,733","20,475",-,"36,208"
,"(18,724)","(36,348)","(58,905)","(4,260)","(424,844)",-,"(543,081)"
,"985,303","2,247,463","113,704","17,724","752,010","172,682","4,288,886"
,"1,060,199","2,392,820","766,377","106,767","3,841,332","172,682","8,340,177"
,"(74,896)","(145,357)","(652,673)","(89,043)","(3,089,322)",-,"(4,051,291)"
,"985,303","2,247,463","113,704","17,724","752,010","172,682","4,288,886"
"At 31 December 2020
Cost
Revaluation surplus
Cost or valuation",,,,,,,
,"430,251","1,914,417","766,377","106,767","3,841,332","172,682","7,231,826"
,"629,948","478,403",-,-,-,-,"1,108,351"
,"1,060,199","2,392,820","766,377","106,767","3,841,332","172,682","8,340,177"
