Category of Project,Risk Categorisation Criteria,2024,2025
A,"Projects likely to have significant adverse environmental or social impacts which are
diverse, widespread, or irreversible",-,6.64%
B,"Project with potentially adverse impacts that are less severe than Category A
projects, i.e., fewer in number, smaller in scale, less widespread, reversible, or easily
mitigated",40.3%,42.12 %
C,Projects with no adverse environmental or social impacts,57.8%,41.92%
