Standard/ Interpretation,Effective date
"Sale or Contribution of Assets between an Investor and its Associate or Company
(Amendments to IFRS 10 and IAS 28)",To be determined
COVID-19-related Rent Concessions (Amendments to IFRS 16),1 June 2020
Classification of Liabilities as Current or Non-current (Amendments to IAS 1),1 January 2023
"Property, Plant and Equipment: Proceeds before intended use (Amendments to
IAS 16)",1 January 2022
Reference to the Conceptual Framework (Amendments to IFRS 3),1 January 2022
Onerous Contracts – Cost of Fulfilling a Contract (Amendments to IAS 37),1 January 2022
IFRS 17 Insurance Contracts (issued in May 2017),1 January 2023
Annual Improvement cycle (2018–2020) - various standards,1 January 2022
