Name,No. of shares,% Shareholding
Aga Khan Fund for Economic Development,"46,130,236",17.32
Habib Bank Limited,"31,878,744",11.97
The Jubilee Insurance Company of Kenya Limited,"27,826,826",10.45
Standard Chartered Nominees A/C KE18972,"8,665,722",3.25
Standard Chartered Nominees A/C KE18965,"6,911,540",2.60
The Diamond Jubilee Investment Trust (U) Limited,"3,838,436",1.44
Standard Chartered Nominees A/C KE002382,"3,508,930",1.32
Standard Chartered Nominee Non Resd a/c KE11752,"2,774,499",1.04
Mr. Amin Nanji Juma,"2,458,172",0.92
Standard Chartered Nominee Account A/C 9230,"2,060,074",0.77
