2006,2005,2004,2003,2002
"1,078,864
431,255","811,211
337,210","537,864
252,866","431,156
193,409","352,358
89,148"
"1,510,119","1,148,421","790,730","624,565","441,506"
"764,766
(58,813)","518,554
(91,940)","298,169
(35,542)","248,870
(44,764)","112,088
711"
"705,953","426,614","262,627","204,106","112,799"
"487,830","294,598","179,672","139,241","75,525"
"13,832,756
16,952,462
139,746
2,868,090
21,737,391","10,318,103
13,846,171
86,953
1,652,234
16,384,422","7,137,193
9,303,877
69,563
1,437,072
11,172,224","4,882,138
6,862,257
69,563
1,335,358
8,659,503","2,696,344
4,783,319
47,700
1,269,363
6,273,754"
"Shs 3.79
Shs 1.00
81.6%
0.8%
2.6%
21.6%
28.6%
15%
17%
20%
5
238
74,241",,"Shs 1.40
Shs 0.70
76.7%
1.6%
1.8%
13.0%
32.0%
13%
14%
14%
5
177
187,992",,"Shs 0.59
Shs 0.60
56.4%
5.8%
1.3%
6.0%
20.2%
21%
29%
30%
4
103
17,228"
