"880,400","3,856,898","378,081","115,291","9,229,632","418,190","14,878,492"
-,-,-,-,"4,057,897",-,"4,057,897"
-,-,"43,988",-,-,-,"43,988"
-,-,"(44,627)",-,"44,627",-,-
-,-,-,"(115,291)","115,291",-,-
-,-,"(6,068)",-,"6,068",-,-
-,-,"1,820",-,"(1,820)",-,-
-,-,"(4,887)","(115,291)","4,222,063",-,"4,101,885"
-,-,-,-,"6,090",-,"6,090"
-,-,-,-,-,"(418,190)","(418,190)"
-,-,-,-,"(462,210)","462,210",-
-,-,-,-,"(456,120)","44,020","(412,100)"
"880,400","3,856,898","373,194",-,"12,995,575","462,210","18,568,277"
