Column,"(277,469)
-
-",Column
,"(277,469)",
"4,678,989","529,550","5,208,539"
"(314,252)",-,"(314,252)"
"4,364,737","529,550","4,894,287"
"(40,676)",-,"(40,676)"
"95,476",-,"95,476"
"4,419,537","529,550","4,949,087"
