Criteria,"No. of
Shareholders","No. of
Shares held",% Shareholding
Local Individuals,"5,788","37,801,229",13.52
Local Institutions,704,"84,444,585",30.20
Foreign Individuals,"2,257","25,946,314",9.28
Foreign Institutional,18,"116,260,898",41.58
East African Individuals,"2,587","12,632,259",4.52
East African Institutions,39,"2,516,935",0.90
Total,"11,393","279,602,220",100.00
