Column,"Notional
Contract
Amount","Carrying value
assets","Carrying value
liabilities"
Bank,Shs’000,Shs’000,Shs’000
,,"38,365
1,075",
,"11,597,922",,"46,063"
,"457,408",,5
,"12,055,330","39,440","46,068"
,,"482,964
1,605",
,"18,006,719",,"107,076"
,"454,514",,"1,692"
,"18,461,233","484,569","108,768"
