GRI STANDARD,DISCLOSURE,LOCATION,PAGE
,303-1 Interactions with water as a shared resource,How we create value,
,"303-2 Management of water discharge-related
impacts",How we create value,
,303-3 Water withdrawal,How we create value,
,303-4 Water discharge,How we create value,
,303-5 Water consumption,How we create value,
,"304-2 Significant impacts of activities, products and
services on biodiversity",How we create value,
,305-1 Direct (Scope 1) GHG emissions,How we create value,
,305-2 Energy indirect (Scope 2) GHG emissions,How we create value,
,305-3 Other indirect (Scope 3) GHG emissions,How we create value,
,305-4 GHG emissions intensity,How we create value,
,305-5 Reduction of GHG emissions,How we create value,
,"306-1 Waste generation and significant waste-
related impacts",How we create value,
,"306-2 Management of significant waste-related
impacts",How we create value,
,306-3 Waste generated,How we create value,
,306-4 Waste diverted from disposal,How we create value,
,306-5 Waste directed to disposal,How we create value,
,"308-1 New suppliers that were screened using
environmental criteria",How we create value,
,401-1 New employee hires and employee turnover,Human capital and culture,
,"401-2 Benefits provided to full-time employees
that are not provided to temporary or part-time
employees",Human capital and culture,
,401-3 Parental leave,Human capital and culture,
,"403-1 Occupational health and safety management
system",Human capital and culture,
,"403-2 Hazard identification, risk assessment, and
incident investigation",Human capital and culture,
,403-3 Occupational health services,Human capital and culture,
,"403-4 Worker participation, consultation, and
communication on occupational health and safety",Human capital and culture,
,"403-5 Worker training on occupational health and
safety",Human capital and culture,
,403-6 Promotion of worker health,Human capital and culture,
