Meetings Attendance Record (1 January 2022 to 31 December 2022),Column,Column,Column,Column,Column,Column,Column,Column
# Board Member Designation,AG,M BAC,,C BC,C BITC,BNHRC,BRM,C BSC¹ Board
,1/1,,,,,,,
"2 Shaffiq Dharamshi Vice Chairman
Last elected in June 2021",1/1,,- 6/6 - 4/4 4/4 3/3 4/4,,,,,
,1/1,,,,,,,
"4 Alkarim Jiwa Finance & Strategy
Director (Executive)",1/1,,- - - - - - 4/4,,,,,
,1/1,,,,,,,
"6 Guedi Ainache Non-Executive Director
Last re-elected in May 2020 (Independent)",1/1,,4/4 - 4/4 - 4/4 - 4/4,,,,,
,1/1,,,,,,,
"8 Irfan Keshavjee Non-Executive Director
Last re-elected in June 2021",1/1,,4/4 6/6 4/4 4/4 - 3/3 4/4,,,,,
,1/1,,,,,,,
"10 Sagheer Mufti Non-Executive Director
Last re-elected in May 2020",1/1,,4/4 - 4/4 - 4/4 3/3 4/4,,,,,
,1/1,,,,,,,
"12 Jamaludin Shamji Non-Executive Director
Last re-elected in May 2019",1/1,,- 5/6 4/4 4/4 4/4 - 4/4,,,,,
