Standard/ Interpretation,Key Requirements,"Applicable for financial years
beginning on/after"
Amendments to iFRS 3,"This amendment clarifies that an obligation to pay
contingent consideration is classified as financial
liability or equity under the principles in iAS 32
and that all non-equity contingent consideration
(financial and non-financial) is measured at fair
value at each reporting date and that; iFRS 3 does
not apply to the accounting for the formation of
any joint arrangement",1-Jul-14
Amendments to iFRS 13,"This amendment confirms that short-term
receivables and payables can continue to be
measured at invoice amounts if the impact of
discounting is immaterial and further clarifies
that the portfolio exception in iFRS 13 (measuring
the fair value of a group of financial assets and
financial liabilities on a net basis) applies to all
contracts within the scope of iAS 39 or iFRS 9",1-Jul-14
Amendments to iAS 16 and iAS 38,"This amendment clarifies how the gross carrying
amount and accumulated depreciation are
treated where an entity measures its assets at
revalued amounts",1-Jul-14
Amendments to iFRS 40,"This amendment clarifies that iAS 40 and iFRS 3
are not mutually exclusive when distinguishing
between investment property and owner-
occupied property and determining whether
the acquisition of an investment property is a
business combination",1-Jul-14
