Column,Column,-,-,-,-,-,"(1,677,613)","(1,677,613)",-,Column
,12,-,-,-,-,"(1,957,216)","1,957,216",-,-,
"Total transactions with owners, recognised directly in equity",,-,-,-,-,"(1,957,216)","279,603","(1,677,613)",-,"(1,677,613)"
At the end of the year,,"1,118,409","9,006,569","6,318,592","(639,259)","64,017,345","1,957,216","81,778,872","10,577,790","92,356,662"
