Column,-,-,-,-,-,"(1,398,011)","(1,398,011)",-,Column
,-,-,-,-,"(1,677,613)","1,677,613",-,-,
"Total transactions with owners, recognised directly in equity",-,-,-,-,"(1,677,613)","279,602","(1,398,011)",-,"(1,398,011)"
At end of year,"1,118,409","9,006,569","258,083","(1,542,330)","64,370,411","1,677,613","74,888,755","11,462,769","86,351,524"
