Column,BOARD MEETINGS,Column,Column,Column
Name of Director:,"3 March
2008","29 May
2008","26 September
2008","2 December
2008"
1 Mahmood Manji,√,√,√,√
2 Nasim Devji,√,√,√,√
3 Amin Merali,√,x,√,√
4 Jack Kisa,√,√,√,√
5 Abdul Samji,√,√,√,√
6 Nizar Juma,√,√,√,x
7 Mohamood Thobani,x,√,√,√
8 Karim Kanji,√,√,√,√
9 Kabir Hyderally,√,√,√,√
