Manufacturing,"Wholesale
and retail
trade","Transport and
communications","Business
and
financial
services",Agriculture,"Building and
construction
and real
estate","Retail
housing","Tourism
and hotels",Individuals,Others,Total
Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000
-,-,-,"56,000",-,-,-,-,-,-,"56,000"
"42,787,097","47,166,696","24,023,120","34,856,567","12,823,768","55,473,928","1,106,286","38,418,546","8,710,315","5,910,498","271,276,821"
-,-,-,"16,625,669",-,-,-,-,-,-,"16,625,669"
180,-,-,-,-,"1,623",-,-,-,"2,609,441","2,611,244"
"42,787,277","47,166,696","24,023,120","51,538,236","12,823,768","55,475,551","1,106,286","38,418,546","8,710,315","8,519,939","290,569,734"
"9,795,619","9,185,337","2,945,175","2,504,089","94,292","1,791,092",-,"565,782","23,379","1,376,727","28,281,492"
"2,559,346","2,216,140","983,668","4,317,667","96,663","2,127,270","163,800","467,149","409,636","1,067,071","14,408,410"
"12,354,965","11,401,477","3,928,843","6,821,756","190,955","3,918,362","163,800","1,032,931","433,015","2,443,798","42,689,902"
