Director,AGM,BACC,BCC,BITC,BNHRC,BRMC,BSC,Board
Linus Gitahi,1/1,-,-,-,-,-,-,4/4
"Shaffiq
Dharamshi",1/1,-,4/4,-,4/4,2/4,4/4,4/4
"Nasim Devji
(Mrs)",1/1,-,-,-,-,-,4/4,4/4
Alkarim Jiwa,1/1,-,-,-,-,-,-,4/4
"Pamella Ager
(Mrs)",1/1,1/1,4/4,-,4/4,-,4/4,4/4
Jeremy Ngunze,1/1,1/1,4/4,4/4,4/4,4/4,4/4,4/4
Guedi Ainache,1/1,4/4,,4/4,4/4,4/4,4/4,3/4
Sagheer Mufti,1/1,4/4,-,4/4,-,4/4,4/4,4/4
Moez Jamal,1/1,1/1,-,,-,4/4,4/4,4/4
Irfan Keshavjee,1/1,4/4,4/4,4/4,4/4,-,4/4,4/4
Uday Bhasin,1/1,4/4,4/4,4/4,-,-,4/4,4/4
Murali Natarajan,1/1,-,-,-,-,-,-,4/4
