Column,"Leasehold
land",Buildings,"Leasehold
improvements","Motor
vehicles","Furniture
fittings &
equipment","Work in
progress",Total
,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
,"1,025,858","2,465,821","534,343","31,541","1,716,032","256,726","6,030,321"
,"1,174","11,567","25,120","1,813","44,091","4,550","88,315"
,-,"3,890","24,868","28,153","605,212","757,890","1,420,013"
,-,-,"14,477",-,"106,228","(120,705)",-
,-,-,-,-,-,"(59,400)","(59,400)"
,-,-,-,-,(123),-,(123)
,-,-,"(33,690)","(15,942)","(75,843)",-,"(125,475)"
,-,-,"19,332","15,942","72,434",-,"107,708"
,"(18,724)","(48,082)","(135,624)","(20,322)","(801,677)",-,"(1,024,429)"
,"1,008,308","2,433,196","448,826","41,185","1,666,354","839,061","6,436,930"
,"1,083,204","2,624,523","1,868,431","218,538","6,888,243","839,061","13,522,000"
,"(74,896)","(191,327)","(1,419,605)","(177,353)","(5,221,889)",-,"(7,085,070)"
,"1,008,308","2,433,196","448,826","41,185","1,666,354","839,061","6,436,930"
"At 31 December 2020
Cost
Revaluation surplus
Cost or valuation",,,,,,,
,"432,103","2,040,859","1,868,431","218,538","6,888,243","839,061","12,287,235"
,"651,101","583,664",-,-,-,-,"1,234,765"
,"1,083,204","2,624,523","1,868,431","218,538","6,888,243","839,061","13,522,000"
