Column,GRO,UP,BA,NK
STATEMENT OF COMPREHENSIVE INCOME,"Dec. 2021
Shs 000
Audited
18,586,241
15,082,348
235,790
-","Dec. 2020
Shs 000
Audited
18,549,705
12,370,928
169,169
-","Dec. 2021
Shs 000
Audited
12,928,806
10,632,804
86,585
-","Dec. 2020
Shs 000
Audited
13,171,997
9,153,948
42,888
-
22,368,833
8,917,281
447,530
999,290
10,364,101
12,004,732
1,075,808
629,020
1,681,597
569,500
190,427
4,146,352
16,151,084
5,398,441
2,700,303
130,722
86,717
737,478
848,087
2,306,909
12,208,657
3,942,427
-
3,942,427
-
(118,064)
3,824,363
(2,461,009)
1,682,586
3,045,940
-
3,045,940
-
-
-
(260,478)
-
(260,478)
2,785,462
10.89
-"
,"33,904,379","31,089,802","23,648,195",
,"12,399,992
374,293
1,137,521","11,218,577
563,354
1,228,378","9,757,426
214,118
931,450",
,"13,911,806","13,010,309","10,902,994",
,"19,992,573
1,307,165
2,317,410
2,448,624
-
234,733","18,079,493
1,434,115
1,836,837
2,325,543
-
525,922","12,745,201
925,453
727,011
1,818,437
300,000
306,137",
,"6,307,932","6,122,417","4,077,038",
,"26,300,505","24,201,910","16,822,239",
,"7,558,119
4,839,802
201,490
423,821
1,587,941
306,605
4,966,055","7,324,436
4,721,038
188,585
336,840
1,500,389
980,133
4,617,137","5,766,375
2,785,987
134,854
148,455
663,404
164,569
2,743,347",
,"19,883,833","19,668,558","12,406,991",
,"6,416,672
-","4,533,352
-","4,415,248
-",
,"6,416,672
(47,015)
256,000","4,533,352
38,687
96,232","4,415,248
-
280,822",
,"6,625,657
(4,210,195)
1,998,011","4,668,271
(3,727,156)
2,587,511","4,696,070
(3,238,217)
1,505,294",
,"4,413,473
505,062","3,528,626
281,092","2,963,147
-",
,"3,908,411","3,247,534","2,963,147",
,"1,067,279
820,872
(90,633)
87,121
(59,260)","1,293,597
-
43,767
(260,478)
(13,663)","-
705,235
(184,771)
87,121
(35,262)",
,"1,825,379","1,063,223","572,323",
,"6,238,852","4,591,849","3,535,470",
,"13.98
3.00","11.61
-","10.60
3.00",
