Q3’25 Performance (KES billion),Column,Column,Column
,Q3 2025,Q3 2024,YOY
,48.8,28.5,71.2%
,197.3,183.2,7.7%
,296.4,275.0,7.8%
,641.8,590.6,8.7%
,510.3,441.9,15.5%
,-,16.0,-100%
,5.1,20.0,-74.5%
,1.3,16.5,-92.1%
,530.5,506.6,4.7%
,58.2%,62.2%,-400bps
,59.9%,56.5%,340bps
,12.3%,12.9%,-60bps
,17.6%,18.2%,-60bps
