GROUP,Column,Column,Column,Column,BANK
"Sep. 2013 Jun. 2013 Mar. 2013 Dec. 2012 Sep. 2012
Shs 000 Shs 000 Shs 000 Shs 000 Shs 000
Unaudited Unaudited Unaudited Audited Unaudited",,,,,"Sep. 2013 Jun. 2013 Mar. 2013 Dec. 2012 Sep. 2012
Shs 000 Shs 000 Shs 000 Shs 000 Shs 000
Unaudited Unaudited Unaudited Audited Unaudited"
"10,201,924
2,002,986
188,113
-","6,578,067 3,225,546 13,783,269 10,359,624
1,288,246 664,187 2,319,756 1,784,277
147,508 69,633 475,989 240,599
- - - -",,,,"7,191,924
1,496,332
81,150
9,703"
"12,393,023","8,013,821 3,959,366 16,579,014 12,384,500",,,,"8,779,109"
"4,174,449
177,433
99,527","2,770,118 1,405,457 7,166,937 5,555,797
104,716 47,633 165,691 122,910
56,222 27,369 121,295 90,748",,,,"2,875,324
99,331
98,382"
"4,451,409","2,931,056 1,480,459 7,453,923 5,769,455",,,,"3,073,037"
"7,941,614","5,082,765 2,478,907 9,125,091 6,615,045",,,,"5,706,072"
"564,488
916,932
909,335
-
85,379","362,222 176,518 631,462 461,310
617,261 288,822 1,160,497 857,354
668,515 302,582 1,186,297 921,716
- - 2,805 -
57,223 19,760 134,193 137,351",,,,"356,241
443,451
583,830
28,510
38,546"
"2,476,134","1,705,221 787,682 3,115,254 2,377,731",,,,"1,450,578"
"10,417,748","6,787,986 3,266,589 12,240,345 8,992,776",,,,"7,156,650"
"570,338
1,957,608
59,651
366,085
317,341
80,805
1,740,813","338,962 110,139 1,025,909 742,793
1,298,383 637,197 2,288,953 1,694,484
40,706 15,638 60,657 49,793
234,340 109,711 378,138 279,320
209,177 103,420 420,616 316,893
56,080 28,748 121,310 91,960
1,110,129 538,156 1,919,012 1,449,206",,,,"351,795
1,185,215
29,229
197,328
160,470
65,092
1,017,155"
"5,092,641","3,287,777 1,543,009 6,214,595 4,624,449",,,,"3,006,284"
"5,325,107
-","3,500,209 1,723,580 6,025,750 4,368,327
- - - -",,,,"4,150,366
-"
"5,325,107
1,925","3,500,209 1,723,580 6,025,750 4,368,327
1,507 3,394 2,149 2,011",,,,"4,150,366
-"
"5,327,032
( 1,772,730)
328,734","3,501,716 1,726,974 6,027,899 4,370,338
(1,166,096) (571,211) (2,187,851) (1,462,716)
331,924 (6,197) 227,930 3,448",,,,"4,150,366
(1,417,949)
333,665"
"3,883,036","2,667,544 1,149,566 4,067,978 2,911,070",,,,"3,066,082"
"219,095
43,990","100,907 89,500 86,047 29,787
19,125 12,113 18,936 ( 10,838)",,,,"-
43,990"
"263,085","120,032 101,613 104,983 18,949",,,,"43,990"
"4,146,121","2,787,576 1,251,179 4,172,961 2,930,019",,,,"3,110,072"
"475,975","315,056","210,978","586,964","311,837",
"3,670,146","2,472,520","1,040,201","3,585,997","2,618,182","3,110,072"
"17.64
-","12.12 5.22 19.56 14.27
- - 1.90 -",,,,"13.93
-"
