Meetings attendance record,Column,Column,Column,Column,Column,Column,Column,Column
Board member,AG,M BAC,,C BC,C BITC,BNHRC,BRM,C BSC Board
,1,,,,,,,
2 Shaffiq Dharamshi,1,,- 6/6 - 4/4 4/4 4/4 4/4,,,,,
,1,,,,,,,
4 Pamella Ager,1,,4/4 6/6 - 4/4 - - 4/4,,,,,
,1,,,,,,,
6 Moez Jamal,1,,- - 4/4 - 4/4 - 4/4,,,,,
,1,,,,,,,
8 Irfan Keshavjee,1,,4/4 6/-6 4/4 4/4 - 4/4 4/4,,,,,
,1,,,,,,,
10 Sagheer Mufti,1,,3/4 4/4 - 4/4 4/4 4/4,,,,,
,1,,,,,,,
12 Jamaludin Shamji (Resigned: 14 Dec 2023),1,,- 6/6 4/4 4/4 4/4 - 4/4,,,,,
