1.1.2016,"Charged
though other
comprehensive
income","Charged
to the
statement
of profit or
loss",31.12.2016
Shs’000,Shs’000,Shs’000,Shs’000
"(6,087)",-,"3,437","(2,650)"
"(8,799)","(91,801)","(17,316)","(117,916)"
"(14,886)","(91,801)","(13,879)","(120,566)"
"30,129",-,"82,279","112,408"
"1,542,537",-,"999,531","2,542,068"
"177,625",-,"(93,931)","83,694"
-,-,"21,613","21,613"
"1,750,291",-,"1,009,492","2,759,783"
"1,735,405","(91,801)","995,613","2,639,217"
