"27,041,985","4,407,732","3,528,269","290,517","35,268,503",Column,"35,268,503"
"3,121,860","1,141,287","878,294","19,436","5,160,877",,"5,160,877"
"30,163,845","5,549,019","4,406,563","309,953","40,429,380",,"40,429,380"
-,-,-,"29,483","29,483",,"29,483"
"36,171",17,"33,248",-,"69,436","(69,436)",-
"30,200,016","5,549,036","4,439,811","339,436","40,528,299",,"40,458,863"
"(12,001,445)","(1,256,662)","(952,048)","(48,697)","(14,258,852)",,"(14,258,852)"
"(5,712,027)","(2,326,031)","(2,054,743)","(136,009)","(10,228,810)",,"(10,228,810)"
"(69,436)",-,-,-,"(69,436)","69,436",-
"(743,597)","(86,709)","(157,831)",-,"(988,137)",,"(988,137)"
"(742,441)","(245,920)","(264,226)","(21,702)","(1,274,289)",,"(1,274,289)"
"(1,554,317)","(603,953)","(551,201)",968,"(2,708,503)",,"(2,708,503)"
"(20,823,263)","(4,519,275)","(3,980,049)","(205,440)","(29,528,027)",,"(29,458,591)"
"9,376,753","1,029,744","459,779","133,996","11,000,272",,"11,000,272"
"(3,532,006)","(346,841)","(31,641)","(7,669)","(3,918,157)",,"(3,918,157)"
"5,844,747","682,903","428,138","126,327","7,082,115",,"7,082,115"
"282,083,200","56,043,563","43,952,562","3,034,581","385,113,906","(7,394,592)","377,719,314"
"233,861,753","48,178,688","36,637,784","1,917,103","320,595,328","(1,815,263)","318,780,065"
