"STATEMENT OF COMPREHENSIVE Jun. 2018
INCOME Shs 000
Unaudited","Mar. 2018 Dec. 2017 Jun. 2017
Shs 000 Shs 000 Shs 000
Unaudited Audited Unaudited","Jun. 2018
Shs 000
Unaudited","Mar. 2018
Shs 000
Unaudited","Dec. 2017
Shs 000
Audited","Jun. 2017
Shs 000
Unaudited"
,"4 5,459,782 22,651,861 11,159,050","8,486,886","4,168,230","16,834,004","8,108,604"
,"1 3,069,619 11,744,676 5,557,097","4,919,370","2,351,038","8,694,690","4,074,366"
,"4 55,295 232,253 135,128","30,135","12,366","101,556","86,021"
,- - - -,-,-,"3,143","2,098"
,"8,584,696 34,628,790 16,851,275","13,436,391","6,531,634","25,633,393","12, 271,089"
,"2 3,321,996 13,497,804 6,660,299","5,651,669","2,748,339","10,659,671","5,155,984"
,"3 197,697 490,587 221,065","328,632","179,058","481,658","183,477"
,"1 198,616 965,321 476,085","362,941","163,475","754,968","405,224"
,"6 3,718,309 14,953,712 7,357,449","6,343,242","3,090,872","11,896,297","5,744,685"
,"34,866,38719,675,078 9,493,826","7,093,149","3,440,762","13,737,096","6,526,404"
,"6 369,204 1,261,206 633,918","503,281","257,892","907,841","440,895"
,"8 505,740 1,995,208 989,929","515,070","255,959","994,545","500,484"
,"2 365,803 1,596,970 793,840","517,041","233,050","1,039,379","531,581"
,- - - -,"65,475",-,"68,704","68,704"
,"1 93,849 422,025 121,340","42,640","16,900","155,876","26,492"
,"7 1,334,596 5,275,409 2,539,027","1,643,507","763,801","3,166,345","1,568,156"
,"0 6,200,983 24,950,487 12,032,853","8,736,656","4,204,563","16,903,441","8,094,560"
,"9 696,517 4,300,777 1,715,759","1,169,141","399,925","2,680,290","990,915"
,"5 1,027,926 3,976,009 2,014,345","1,286,853","618,782","2,386,223","1,240,210"
,"0 28,785 115,714 55,299","36,756","16,547","67,035","33,413"
,"9 238,252 798,382 380,665","215,783","108,107","385,090","181,144"
,"9 257,545 982,200 486,676","278,982","139,269","570,146","282,629"
,"2 51,132 354,847 186,072","96,708","49,133","222,187","117,305"
,"8 1,188,436 4,332,713 2,156,920","1,348,837","700,838","2,364,912","1,172,795"
,"2 3,488,593 14,860,642 6,995,736","4,433,060","2,032,601","8,675,883","4,018,41 1"
,"8 2,712,390 10,089,845 5,037,117","4,303,596","2,171,962","8,227,558","4,076,149"
,- - - -,-,-,-,-
,"8 2,712,390 10,089,845 5,037,117","4,303,596","2,171,962","8,227,558","4,076,149"
,"3 4,763 8,390 8,430",-,-,-,-
,"1 2,717,153 10,098,235 5,045,547","4,303,596","2,171,962","8,227,558","4,076,149"
,"1) (914,439) (4,198,225) (1,632,305)","(1,312,596)","(760,187)","(3,303,339)","(1,263,606)"
,") (644 ) 1,025,030 (767)",-,-,"575,452",-
,"3 1,802,070 6,925,040 3,412,475","2,991,000","1,411,775","5,499,671","2,812,543"
,"9 121,187 475,229 215,445",-,-,-,-
,"4 1,680,883 6,449,811 3,197,030","2,991,000","1,411,775","5,499,671","2,812,543"
,") (481,847) 194,166 (51,370)",-,-,-,-
,"- - (12,712) -
- - 5,826 -","-
-","-
-","-
-","-
-"
,") (481,847) 187,280 (51,370)",-,-,-,-
,"0 1,320,223 7,112,320 3,361,105","2,991,000","1,411,775","5,499,671","2,812,543"
,1 6.01 23.73 12.00,10.70,5.05,20.23,10.56
,- - 2.60 -,-,-,2.60,-
