"Share
capital
Notes Shs’000",Column,"Share
premium
Shs’000","Capital
reserve
Shs’000","Retained
earnings
Shs’000","Proposed
dividend
Shs’000","Total
Shs’000"
,,"16,320","104,649","849,040","69,563","1,437,072"
,"-
-","-
-","(626)
188","626
(188)","-
-","-
-"
,,-,(438),438,-,-
,"-
-","-
-","13,965
(654)","-
-","-
-","13,965
(654)"
,,"-
-","13,311
(5,191)","-
(17,993)","-
-","13,311
(23,184)"
,,"-
-
-
-
-","7,682
-
-
-
-","(17,555)
(99,375)
294,598
-
(86,953)","-
-
-
(69,563)
86,953","(9,873)
-
294,598
(69,563)
-"
,,"16,320","112,331","939,755","86,953","1,652,234"
,,"16,320","112,331","939,755","86,953","1,652,234"
,"-
-","-
-","(504)
151","504
(151)","-
-","-
-"
,,-,(353),353,-,-
,"-
-","-
-","1,728
(2,257)","-
-","-
-","1,728
(2,257)"
,,"-
-","(529)
(2,559)","-
(17,466)","-
-","(529)
(20,025)"
,,"-
678,877
-
-
-
-","(3,441)
-
-
-
-
-","(17,113)
-
94,547
487,830
-
(139,746)","-
-
-
-
(86,953)
139,746","(20,554)
740,986
94,547
487,830
(86,953)
-"
,,"695,197","108,890","1,365,273","139,746","2,868,090"
