STATEMENT OF COMPREHENSIVE INCOME,GRO,UP,BA,NK
,"Dec. 2023
Shs 000
Audited
2 8,537,534
2 4,140,699
633,300
-","Dec. 2022
Shs 000
Audited
21,070,891
18,692,325
303,671
-","Dec. 2023
Shs 000
Audited
1 9,174,650
15,563,540
1 4 6,525
-","Dec. 2022
Shs 000
Audited
14,091,521
13,546,387
54,887
-"
,"53,311,533","40,066,887","34,884,715","27,692,795"
,"2 0,881,383
2 ,306,804
2 ,548,757","14,636,005
1,051,438
1,492,347","1 4,335,691
1 ,7 71,560
2 ,312,147","11,239,814
780,032
1,301,198"
,"2 5,736,944","17,179,790","1 8,419,398","13,321,044"
,"2 7,574,589","22,887,097","1 6,465,317","14,371,751"
,"2 ,011,460
3,434,392
5,586,977
-
1 , 1 22,154","1,684,793
2,580,423
4,304,957
-
482,649","1 ,475,539
1 , 3 81,796
3,970,312
180,000
2 76,993","1,245,073
919,065
3,368,585
150,000
87,709"
,"1 2,154,983","9,052,822","7 ,284,640","5,770,432"
,"39,729,572","31,939,919","23,749,957","20,142,183"
,"1 0 ,320,594
8 ,544,988
252,225
5 52,989
1 ,839,705
4 66,314
8 ,892,496","7,141,776
6,142,788
236,594
456,477
1,447,240
352,580
6,304,584","7,941,155
4,905,823
1 52,205
1 62,999
7 44,784
251,408
4 ,422,588","4,989,763
3,550,484
145,996
154,988
644,254
176,407
3,576,519"
,"30,869,311","22,082,039","1 8,580,962","13,238,411"
,"8,860,261
-","9,857,880
-","5,168,995
-","6,903,772
-"
,"8,860,261
30,010
113,189","9,857,880
16,963
(349,910)","5,168,995
-
264,595","6,903,772
-
(313,326)"
,"9,003,460
(4,987,048)
3 ,778,560","9,524,933
(5,671,332)
2,940,277","5,433,590
(2,509,880)
2 ,060,631","6,590,446
(3,981,647)
1,910,395"
,"7,794,972","6,793,878","4,984,341","4,519,194"
,"915,796","732,861",-,-
,"6 ,879,176","6,061,017","4,984,341","4,519,194"
,"5,321,483
-
(2,929,702)
-
(98,920)","1,610,626
95,186
(2,780,733)
(1,289,691)
(431,490)","-
-
(3,170,632)
-
-","-
-
(3,526,050)
(1,289,691)
-"
,"2,292,861","( 2,796,102)","(3,170,632)","(4,815,741)"
,"1 0 ,087,833","3,997,776","1,813,709","(296,547)"
,"2 4.60
6 .00","21.68
5.00","1 7.83
6.00","16.16
5.00"
