Stage 1,Stage 2,Stage 3,POCI,Total
12-month ECL,Lifetime ECL,Lifetime ECL,,
Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
"908,295","888,596","3,665,927",-,"5,462,818"
"62,098","(598,827)","536,729",-,-
"(40,927)","41,254",(327),-,-
"(1,562)","(273,018)","274,580",-,-
-,-,"(597,249)",-,"(597,249)"
"212,240","909,258","1,994,246",-,"3,115,744"
"(523,028)","(500,646)","(1,133,539)",-,"(2,157,213)"
"9,114","(109,098)","(32,286)",-,"(132,270)"
"101,916","977,404","3,640,176",-,"4,719,496"
"728,146","1,334,923","8,348,257",-,"10,411,326"
"256,043",471,"2,598",-,"259,112"
"5,285","(6,301)","1,016",-,-
(915),915,-,-,-
-,-,-,-,-
-,-,-,-,-
"15,409",959,-,-,"16,368"
"(293,371)","(5,674)",-,-,"(299,045)"
"5,377","1,019",-,-,"6,396"
"78,248","16,164","(3,614)",-,"90,798"
"66,076","7,553",-,-,"73,629"
"794,222","1,342,476","8,348,257",-,"10,484,955"
