"1,375,168","1,340,740",-,-
"40,138","54,249",-,-
"(596,809)","(49,130)",-,-
"(39,042)","29,309",-,-
"779,455","1,375,168",-,-
"2,591,356",-,"2,591,356",-
-,"2,548,750",-,"2,548,750"
"189,233","42,776","189,233","42,776"
"(157,374)",-,"(157,374)",-
"(14,715)",(170),"(14,715)",(170)
"2,608,500","2,591,356","2,608,500","2,591,356"
"5,846,832","8,298,140","4,757,321","5,863,017"
-,"79,516",-,"79,516"
-,"1,252",-,"1,252"
-,"(79,187)",-,"(79,187)"
-,"(1,581)",-,"(1,581)"
-,-,-,-
"2,832,471","2,784,355","1,561,771","2,099,510"
"1,019,500","1,013,431","1,019,500",-
"77,804","94,660","96,653","88,683"
"(1,869,144)","(1,046,730)","(597,256)","(595,092)"
"5,769","(13,245)","(14,268)","(31,330)"
"2,066,400","2,832,471","2,066,400","1,561,771"
