"2012
Shs’000
13,783,269
2,319,756
475,989","2011
Shs’000
8,927,719
790,358
321,021","2012
Shs’000
10,374,522
2,062,918
244,575","2011
Shs’000
6,479,319
452,966
293,382"
"16,579,014","10,039,098","12,682,015","7,225,667"
"7,166,937
165,691","3,090,651
121,495","5,727,639
87,906","2,379,845
40,723"
"7,332,628","3,212,146","5,815,545","2,420,568"
"1,843,217
(51,258)","1,587,566
(34,901)","1,027,394
(41,674)","918,181
(26,340)"
"1,791,959","1,552,665","985,720","891,841"
"22,068
21,905
2,112
49,700","117,128
18,501
(912)
61,002","22,068
21,448
1,190
23,711","121,082
18,003
(1,688)
21,850"
"95,785","195,719","68,417","159,247"
"2,308,649
420,570
121,454
378,138
11,724","2,082,228
365,917
100,361
301,985
11,007","1,440,827
217,188
91,258
209,957
5,185","1,275,701
193,505
67,296
162,595
4,938"
"2,094,567
50,532
4,209
67,908
91,433","1,829,019
46,308
7,438
58,143
141,320","1,345,550
49,366
-
1,994
43,917","1,174,370
45,165
5,009
2,046
49,111"
"2,308,649","2,082,228","1,440,827","1,275,701"
