Column,32,"1,118,409","1,118,409","1,118,409",Column
,32,"9,006,569","9,006,569","9,006,569",
,33 (c),"64,017,345","64,370,411","49,438,206",
,33 (d),"6,318,592","258,083","5,805,096",
,33,"(639,259)","(1,542,330)","(1,788,257)",
,12,"1,957,216","1,677,613","1,957,216",
Equity attributable to owners of the Bank,,"81,778,872","74,888,755","65,537,239","56,692,780"
,26(c),"10,577,790","11,462,769",-,
Total equity,,"92,356,662","86,351,524","65,537,239","56,692,780"
Total liabilities and equity,,"573,886,914","635,040,842","381,136,850","399,615,631"
