Column,Group,Column,Bank,Column
Note,2025,2024,2025,2024
,Shs’000,Shs’000,Shs’000,Shs’000
,,"*Restated
59,311,745
(31,213,636)",,
,"60,997,356",,"43,100,944",
,"(26,114,575)",,"(19,416,050)",
,"34,882,781","28,098,109
6,394,470
(128,116)","23,684,894",
,"7,064,815",,"4,051,512",
,"(145,953)",,"(127,208)",
,"6,918,862","6,266,354
4,737,994
694,646","3,924,304",
,"2,278,047",,"1,224,818",
,"1,337,453",,"1,233,564",
,"45,417,143","39,797,103
(21,225,554)
(7,401,567)","30,067,580",
,"(22,782,349)",,"(13,407,094)",
,"(8,681,072)",,"(8,093,648)",
,"13,953,722","11,169,982
(99,572)","8,566,838",
,"(19,614)",,"(10,075)",
,"13,934,108","11,070,410
(2,301,621)","8,556,763",
,"(2,694,299)",,"(1,292,217)",
,"11,239,809","8,768,789","7,264,546",
,,"50,620",,
,"(532,610)",,"592,500",
,"10,707,199","8,819,409","7,857,046",
,,"7,642,442
1,176,967",,
,"9,407,239",,"7,857,046",
,"1,299,960",,-,
,"10,707,199","8,819,409","7,857,046",
,,27.33,,
,33.65,,,
