"2004 2003
Shs'OOO Shs '000
705,697 583,470
(153,491) (138,645)
178,424 104,824
74,517 79,376
9,089 7,969
(498,412) (372,900)
(92,814) -"
"223,010 264,094
(150,862) (89,216)
64,992 (64,992)
504,975 359,136
(2,290,000) (2,227,886)
(23,913) (98,356)
2,282,495 1,948,073
(5,622) 201,813"
"605,075 292,666"
"(125,417) (47,521)
(62,575) (2,934)
573 3,293
-
679
2,162 2,549"
"(185,257) (43,934)"
"(69,563) (47,700)"
"(69,563) (47,700)"
"350,255 201,032
1,755,688 1,554,656"
"2,105,943 1,755,688"
