"24,455,264","4,368,031","3,721,961","305,857","32,851,113",Column,"32,851,113"
"3,255,978","1,213,209","967,274","35,420","5,471,881",,"5,471,881"
"27,711,242","5,581,240","4,689,235","341,277","38,322,994",,"38,322,994"
-,-,-,"6,530","6,530",,"6,530"
"41,944",17,"33,196",-,"75,157","(75,157)",-
"27,753,186","5,581,257","4,722,431","347,807","38,404,681",,"38,329,524"
"(10,599,749)","(1,037,789)","(1,086,527)","(48,660)","(12,772,725)",,"(12,772,725)"
"(5,695,726)","(2,298,979)","(2,177,601)","(150,909)","(10,323,215)",,"(10,323,215)"
"(75,157)",-,-,-,"(75,157)","75,157",-
"(1,031,773)","(171,298)","(159,445)","(4,901)","(1,367,417)",,"(1,367,417)"
"(1,014,791)","(243,119)","(297,249)","(23,500)","(1,578,659)",,"(1,578,659)"
"42,257","(671,058)","(419,108)","23,315","(1,024,594)",,"(1,024,594)"
"(18,374,939)","(4,422,243)","(4,139,930)","(204,655)","(27,141,767)",,"(27,066,610)"
"9,378,247","1,159,014","582,501","143,152","11,262,914",,"11,262,914"
"(3,613,429)","(327,873)","(49,353)","(3,667)","(3,994,322)",,"(3,994,322)"
"5,764,818","831,141","533,148","139,485","7,268,592",,"7,268,592"
"287,916,322","55,074,445","47,395,502","3,499,801","393,886,070","(7,655,884)","386,230,186"
"235,290,703","46,664,653","39,517,259","2,318,781","323,791,396","(2,076,555)","321,714,841"
