"4,783,274","5,119,630","351,602"
"1,192,829
7,086
111,640","1,413,281
158,307
91,001","49,419
13,491
3430"
"1,311,555","1,662,589","66,340"
"3,471,719","3,457,041","285,262"
"860,333
408,782
7,891","638,993
216,334
41,656","26,346
5,071
347"
"1,277,006","896,983","31,764"
