BANK,Column
"Sep. 2016 Jun. 2016 Mar. 2016 Dec. 2015 Sep. 2015
Shs 000 Shs 000 Shs 000 Shs 000 Shs 000
Unaudited Unaudited Audited Unaudited Unaudited",
"5 ,540,401
9 11,517","5,324,914 4 ,033,289 3,656,066 1,763,640
737,712 5 15,878 386,496 205,679"
"4 ,628,884
4 ,442,322","4,587,202 3 ,517,411 3,269,570 1,557,961
3,266,463 2 ,309,311 2,061,470 1,557,961"
"1 86,562","1,320,739 1 ,208,100 1,208,100 -"
"1 86,562","1,320,739 1 ,208,100 1,208,100 -"
-,- - - -
"4 ,036,386
1 ,182,793","3,919,749 3 ,537,644 3,059,775 3,099,954
1,074,238 1 ,030,094 988,122 928,877"
"5 ,219,179","4,993,987 4 ,567,738 4,047,897 4,028,831"
"21,183,665
12,620,030
-","21,129,916 20,912,243 22,523,991 2 3,093,687
25,384,740 33,157,793 16,489,302 2 8,225,375
- - - -"
"33,803,695","46,514,656 54,070,036 39,013,293 5 1,319,062"
,"25,805,804 26,026,364 25,420,505 2 4,004,747
1,000,000 1 ,000,000 1,000,000 1,000,000
24,805,804 25,026,364 24,420,505 2 3,004,747
4,245,748 4 ,893,468 4,878,966 5,219,122"
"26,294,354",
"1 ,000,000",
"25,294,354",
"4 ,207,922",
"30,502,275","30,051,552 30,919,832 30,299,471 2 9,223,869"
"176,172,445",
16.5%,
8.0%,
8.5%,
14.9%,
10.5%,
4.4%,
17.3%,
14.5%,
2.8%,
48.5%,
20.0%,
28.5%,
