Q1 2025,Q1 2024,YOY
7.7,7.1,8.0%
3.0,3.7,-18.5%
10.7,10.8,-1.1%
5.7,5.3,8.8%
4.9,5.5,-10.5%
0.9,1.5,-42.6%
4.1,4.0,1.9%
3.2,2.9,9.9%
2.9,2.6,8.8%
10.21,9.39,8.8%
6.5%,5.7%,80bps
55.4%,49.5%,590bps
1.2%,2.0%,-80bps
