Manufacturing,"Wholesale
and retail
trade","Transport and
communications","Business
and financial
services",Agriculture,"Building and
construction
and real estate","Retail
housing","Tourism and
hotels",Individuals,Others,Total
Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000
-,-,"1,202,570","55,628",-,-,-,-,-,-,"1,258,198"
"29,021,422","42,639,107","15,958,626","26,312,811","11,085,510","51,548,657","1,397,505","29,796,856","6,708,930","6,646,427","221,115,851"
-,-,-,"19,945,900",-,-,-,-,-,-,"19,945,900"
-,-,-,-,-,-,-,-,-,"1,652,877","1,652,877"
"29,021,422","42,639,107","17,161,196","46,314,339","11,085,510","51,548,657","1,397,505","29,796,856","6,708,930","8,299,304","243,972,826"
"16,711,593","14,509,761","2,233,426","2,492,102","198,109","4,136,723",-,"363,992","441,511","1,590,694","42,677,911"
"1,925,640","3,038,236","403,546","572,101","200,090","1,841,451",-,"1,536,910","762,923","966,101","11,246,998"
"18,637,233","17,547,997","2,636,972","3,064,203","398,199","5,978,174",-,"1,900,902","1,204,434","2,556,795","53,924,909"
