Column,12,-,-,-,-,-,"(1,677,613)",Column
,12,-,-,-,-,"(1,957,216)","1,957,216",
"Total transactions with owners, recognised directly in equity",,-,-,-,-,"(1,957,216)","279,603","(1,677,613)"
At end of year,,"1,118,409","9,006,569","5,805,096","(1,788,257)","49,438,206","1,957,216","65,537,239"
