GROUP,Column,BANK,Column
"Sep. 2013 Jun. 2013 Mar. 2013 Dec. 2012 Sep. 2012
Shs 000 Shs 000 Shs 000 Shs 000 Shs 000
Unaudited Unaudited Unaudited Audited Unaudited",,"Sep. 2013 Jun. 2013 Mar. 2013 Dec. 2012 Sep. 2012
Shs 000 Shs 000 Shs 000 Shs 000 Shs 000
Unaudited Unaudited Unaudited Audited Unaudited",
"1,169,391
111,456","1,110,099 1,140,276 1,044,299 1,119,490
81,982 101,124 87,245 95,174","861,041
72,280","826,696 884,157 874,141 9 88,006
58,243 71,505 64,195 7 9,762"
"1,057,935
1,016,772","1,028,117 1,039,152 957,054 1,024,316
920,045 895,224 887,294 969,373","788,761
788,761","768,453 812,652 809,946 9 08,244
768,453 812,652 809,946 9 08,244"
"41,163","108,072 143,928 69,760 54,943",-,- - - -
"41,163","108,072 143,928 69,760 54,943",-,- - - -
-,- - - -,-,- - - -
"2,427,921
471,888","2,385,667 2,010,163 2,220,379 2,078,872
378,740 434,291 439,477 421,935","2,201,923
358,413","2,143,811 1,801,253 1,906,868 1 ,821,960
339,821 338,334 341,001 3 21,270"
"2,899,809","2,764,407 2,444,454 2,659,856 2,500,807","2,560,336","2,483,632 2,139,587 2,247,869 2 ,143,230"
"15,016,898
20,568,641
-","13,488,079 12,120,576 10,202,984 9,656,218
16,022,148 19,477,246 18,062,996 16,468,427
- - - -","12,435,796
18,283,924
-","11,106,393 10,251,658 8,464,688 7 ,352,216
13,336,344 17,536,731 16,300,272 1 4,972,375
- - - -"
"35,585,539","29,510,227 31,597,822 28,265,980 26,124,645","30,719,720","24,442,737 27,788,389 24,764,960 2 2,324,591"
,,,"12,449,511 11,645,776 12,029,483 1 0,699,902
1,000,000 1,000,000 1,000,000 7 00,000
11,449,511 10,645,776 11,029,483 9 ,999,902
1,382,069 1,301,032 1,481,221 1 ,503,750"
,,"12,915,614",
,,"1,000,000",
,,"11,915,614",
,,"3,134,573",
,,"16,050,187","13,831,580 12,946,809 13,510,704 1 2,203,652"
,,"84,379,539","77,200,737 72,634,026 68,096,443 6 7,361,170
16.5% 16.3% 16.4% 15.3%
8.0% 8.0% 8.0% 8.0%
8.5% 8.3% 8.4% 7.3%
16.1% 16.0% 17.7% 15.9%
8.0% 8.0% 8.0% 8.0%
8.1% 8.0% 9.7% 7.9%
17.9% 17.8% 19.8% 18.1%
12.0% 12.0% 12.0% 12.0%
5.9% 5.8% 7.8% 6.1%
32.0% 35.2% 38.0% 35.8%
20.0% 20.0% 20.0% 20.0%
12.0% 15.2% 18.0% 15.8%"
,,16.3%,
,,8.0%,
,,8.3%,
,,15.3%,
,,8.0%,
,,7.3%,
,,19.0%,
,,12.0%,
,,7.0%,
,,29.10%,
,,20.0%,
,,9.10%,
