H1’25 Performance (KES billion),Column,Column,Column
,H1 2025,H1 2024,YOY
,40.9,34.6,18.2%
,184.1,189.1,-2.6%
,288.5,267.9,7.7%
,611.5,585.4,4.5%
,483.2,431.9,11.9%
,0.0,18.0,-100.0%
,11.3,20.7,-45.3%
,2.5,18.1,-86.2%
,510.7,501.1,1.9%
,64.4%,66.8%,-240bps
,56.6%,52.6%,400bps
,12.7%,13.1%,-40bps
,18.5%,18.9%,-40bps
