Column,Column,Column,activities?,Column,Column,Applied,Column,Column
30,M,B.23,"Has the Board determined, agreed on its annual evaluation
process and undertaken the evaluation or the performance
of the Board, the Board Committees, the CEO and the
Company Secretary?","2.6.4, 2.8","Fully
Applied",,"Yes. An evaluation of the Board, CEO and the Company
Secretary was undertaken by an external consultant for
year 2019.","Annual Evaluation Policy;
Board Evaluation undertaken by Institute of
Directors (Kenya)."
31,A or E,B.24,"Has the Board established and applied a formal induction
program for in-coming members?",2.7.1,"Fully
Applied",,Yes.,"Induction Policy.
There is a formal induction for all New Directors."
32,A or E,B.25,"Do Board members participate in on-going corporate
governance training to the extent of 12 hours per year?",2.7.3,"Fully
Applied",,Yes.,There are records confirming the same.
33,A or E,B.26,"Has the Board set up an independent Remuneration
Committee or assigned to another Board committee the
responsibility for determination of remuneration of
Directors?",2.9.2,"Fully
Applied",,Yes.,"Board Remuneration Policy.
BNHRC ToR as this function has been assigned to
the BNHRC."
34,M,B.27,"Has the Board established and approved formal and
transparent remuneration policies and procedures that
attract and retain Board members?",2.9.1,"Fully
Applied",,Yes.,Board Remuneration Policy.
35,M,B.28,"How does the Board ensure compliance with all applicable
laws, regulations and standards, including the Constitution
and internal policies?","2.10, 2.10.1,
2.10.2","Fully
Applied",,"Through the Internal Audit and Compliance Departments
both of whom report to the BACC","BACC ToR.
There are also records in place confirming the same
e.g. BACC Minutes and Board Papers"
36,M,B.29,"In the past year, has the Board organised a legal and
compliance audit to be carried out on a periodic basis?",2.10.3,"Fully
Applied",,Yes.,"An external legal and compliance audit was carried
out in 2018 as recommended by the Code."
37,A or E,B.30,"Has the Board subjected the Company to an annual
governance audit?",2.11.1,"Fully
Applied",,Yes.,"There are records confirming the Governance Audit
has been undertaken and a formal report submitted
to the Company by a duly accredited governance
auditor."
,,C,RIGHTS of SHAREHOLDERS,,,,,
38,M,C.1,"Does the governance framework recognise the need to
equitably treat all shareholders, including the minority and
foreign shareholders?","3.0, 3.2.1","Fully
Applied",,Yes.,"Articles of Association;
Code of Ethics and Conduct;
Corporate Governance Policy."
39,M,C.2,"Other than at the AGM, how does the Board facilitate the
effective exercise of shareholders' rights?",3.1.1,"Fully
Applied",,"By ensuring that information is disseminated adequately,
timely and equitably using a variety of channels and
availing a whistle blowing platform where malfeasance can
be reported.","Communication via the media and the Company's
website."
