"Share
capital
Notes Shs’000",Column,"Share
premium
Shs’000","Capital
reserve
Shs’000","Retained
earnings
Shs’000","Proposed
dividend
Shs’000","Total
Shs’000"
,,"16,320","16,096","723,644","69,563","1,223,123"
,"-
-","-
-","(626)
188","626
(188)","-
-","-
-"
,,-,(438),438,-,-
,"-
-","-
-","13,965
(654)","-
-","-
-","13,965
(654)"
,,-,"13,311",-,-,"13,311"
,,"-
-
-
-
-","12,873
-
-
-
-","438
(99,375)
248,882
-
(86,953)","-
-
-
(69,563)
86,953","13,311
-
248,882
(69,563)
-"
,,"16,320","28,969","786,636","86,953","1,415,753"
,,"16,320","28,969","786,636","86,953","1,415,753"
,"-
-","-
-","(504)
151","504
(151)","-
-","-
-"
,,-,(353),353,-,-
,"-
-","-
-","1,728
(2,257)","-
-","-
-","1,728
(2,257)"
,,-,(529),-,-,(529)
,,"-
678,877
-
-
-
-","(882)
-
-
-
-
-","353
-
94,547
444,900
-
(139,746)","-
-
-
-
(86,953)
139,746","(529)
740,986
94,547
444,900
(86,953)
-"
,,"695,197","28,087","1,186,690","139,746","2,608,704"
