"Stage 3
impairment","Stage 1 and 2
impairment",Total
Shs’000,Shs’000,Shs’000
"4,279,703","11,748","4,291,451"
"(1,174,508)","(595,410)","(1,769,918)"
"3,105,195","(583,662)","2,521,533"
"(273,758)",-,"(273,758)"
"460,728",-,"460,728"
"3,292,165","(583,662)","2,708,503"
