Bank,Column,Column,Column,Column,Column
,,"59,167
99,894
-
-",,"-
148,779
1,270,854
-",
,"771,142",,"238,325",,"1,068,634"
,"2,241,515",,"75,359",,"2,565,547"
,"22,383",,-,,"1,293,237"
,"89,550,947",,"5,410,896",,"94,961,843"
,"92,585,987","159,061","5,724,580","1,419,633","99,889,261"
,,"3,949,776
24,146
11
-
-",,"304,905
83,934
1,735
-
-",
,"74,190,223",,"4,784,420",,"83,229,324"
,"12,626,285",,"4,543",,"12,738,908"
,"410,274",,35,,"412,055"
,"1,112,697",,-,,"1,112,697"
,"216,346",,-,,"216,346"
,"88,555,825","3,973,933","4,788,998","390,574","97,709,330"
,,"(3,814,872)",,"1,029,059",
,"4,030,162",,"935,582",,"2,179,931"
,"(7,902,175)","3,797,828","(684,932)","314,801","(4,474,478)"
,"(3,872,013)","(17,044)","250,650","1,343,860","(2,294,547)"
