Column,Column,G,TRANSPARENCY and DISCLOSURE,Column,Column,Column,Column
67,M,G.1,"Does the company have policies and processes to ensure
timely and balanced disclosure of all material information
as required by all laws, regulations and standards and this
Code.","7.0, 7.1.1","Fully
Applied",Yes.,"This is covered by Inter aliathe Legal and Company
Secretarial Manual and Shares Procedure that
mandates the Company Secretary to make the
necessary disclosures in line with legislation and
regulations governing the affairs of the Company."
68,A or E,G.2,"Does the Annual Report cover, as a minimum, disclosures
as prescribed in 7.1.1 relating to the company's governance,
the Board and the Audit Committee?",7.1.1,"Fully
Applied",Yes.,"This is disclosed in the Integrated Report on
pages 25 - 48."
69,A or E,G.3,"Does the Annual Report cover, as a minimum, disclosures
as prescribed in 7.1.1 relating to the company's mission,
vision and strategic objectives?",7.1.1,"Fully
Applied",Yes.,This is disclosed in the Integrated Report on page 2.
70,A or E,G.4,"Does the Annual Report cover, as a minimum, disclosures
as prescribed in 7.1.1 relating to remuneration and
whistleblowing?",7.1.1,"Fully
Applied",Yes.,"This is disclosed in the Integrated Report on page 83-
91and pages 97 - 98."
71,A or E,G.5,"As a minimum, does the Company website disclose current
information on all areas prescribed in 7.1.1 (Board Charter,
Whistleblowing Policy, Code of Ethics and information on
resignation of directors)?",7.1.1,"Fully
Applied",Yes.,The necessary disclosures are made on the Website
"72
73","A or E
A or E","G.6
G.7","Does the Board disclose the management discussion and
analysis as required in 7.1.1?
Has the Board provided disclosures as required in 7.1.1 on
compliance with laws, regulations and standards; ethical
leadership, conflict of interest, corporate social
responsibility and citizenship?","7.1.1
7.1.1","Fully
Applied
Fully
Applied","Yes.
Yes.","This is disclosed in the Integrated Report
This is disclosed in the Integrated Report"
74,A or E,G.8,"Has the Board made all required disclosures, including
confirming requirements of 7.1.1 which include that a
governance audit was carried out and that there are no
known insider dealings?",7.1.1,"Fully
Applied",Yes.,This is disclosed in the Integrated Report
75,A or E,G.9,"Has the Board disclosed the company's risk management
policy, company procurement policy, policy on information
technology as per 7.1.1?",7.1.1,"Fully
Applied",Yes.,"This is covered for all commercial banking
subsidiaries."
76,M,G.10,"Has the Board disclosed information on shareholders,
including the key shareholders, including shareholding by
directors and senior management and the extent of their
shareholdings as required in 7.1.1 and on stakeholder who
influence company performance and sustainability?",7.1.1,"Fully
Applied",Yes.,"Disclosed in the Integrated Report, Annual Returns,
monthly reporting to CMA and NSE as well as on the
Company's website."
77,M,G.11,Has the Board disclosed all related-party transactions?,7.1.1,"Fully
Applied",Yes.,"This is disclosed in the Integrated Report on pages
224 - 226."
78,M,G.12,"Does the Board include in its Annual Report a statement
of policy on good governance and the status of the
application of this Code?","1.1.3, 7.1.1r","Fully
Applied",Yes.,"This is disclosed in the Integrated Report on
pages 41- 48."
