At FVPL,"Investment at
FVOCI","Amortised
cost","Total carry
amo"
Shs’000,Shs’000,Shs’000,Shs’0
,"-
148,693,753
-
-
-
50,000
-
-",,
-,,"78,327,382",
"502,263",,"36,759,281",
-,,"33,010,186",
-,,"324,172,604",
-,,"911,578",
-,,-,
"39,727",,-,
-,,"3,302,783",
"541,990","148,743,753","476,483,814",
,"-
-
-
-
-
-",,
-,,"509,139,215",
-,,"21,035,624",
"53,538",,-,
-,,"7,082,267",
-,,"1,505,015",
-,,"4,484,552",
"53,538",-,"543,246,673",
,"-
116,385,072
-
-
50,000
-
-",,
-,,"45,959,773",
"619,309",,"56,892,809",
-,,"30,812,392",
-,,"285,296,663",
-,,-,
"506,159",,-,
-,,"2,156,502",
"1,125,468","116,435,072","421,118,139",
,"-
-
-
-
-
-",,
-,,"447,216,813",
-,,"17,143,157",
"108,768",,-,
-,,"6,177,471",
-,,"3,667,451",
-,,"4,759,731",
"108,768",-,"478,964,623",
