"Mandatorily at
FVTPL","Designated at
FVTPL","Investments at
FVTOCI",Amortised cost,"Total carrying
amount"
Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
-,-,-,"14,831,865","14,831,865"
-,-,-,"111,118,568","111,118,568"
-,-,-,"10,667,900","10,667,900"
-,-,-,"154,998,068","154,998,068"
-,-,"1,252,570",-,"1,252,570"
-,-,-,"884,987","884,987"
-,-,"1,252,570","292,501,388","293,753,958"
-,-,-,"207,984,496","207,984,496"
-,-,-,"27,063,578","27,063,578"
-,-,-,"1,828,808","1,828,808"
-,-,-,"18,521,027","18,521,027"
-,-,-,"2,593,221","2,593,221"
-,-,-,"257,991,130","257,991,130"
