Manufacturing,"Wholesale
and retail
trade","Transport and
communications","Business
and
financial
services",Agriculture,"Building and
construction
and real
estate","Retail
housing","Tourism and
hotels",Individuals,Others,Total
Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000
-,-,"1,797,617",-,-,-,-,-,-,-,"1,797,617"
"17,731,475","25,434,707","10,340,396","27,558,567","5,263,143","43,046,141","1,182,767","14,365,432","8,148,024","92,325","153,162,977"
-,-,-,"2,685,708",-,-,-,-,-,-,"2,685,708"
-,-,-,-,-,-,-,-,-,"1,272,253","1,272,253"
"17,731,475","25,434,707","12,138,013","30,244,275","5,263,143","43,046,141","1,182,767","14,365,432","8,148,024","1,364,578","158,918,555"
"11,776,188","14,448,666","2,134,554","1,283,082","1,239,243","3,988,757",-,"121,422","154,018","1,507,557","36,653,487"
"124,494","2,070,587","548,380","1,050",500,"94,864","3,440,717","5,270","795,358","69,943","7,151,163"
"11,900,682","16,519,253","2,682,934","1,284,132","1,239,743","4,083,621","3,440,717","126,692","949,376","1,577,500","43,804,650"
