Column,Column,Column,Column,Column,Furniture,Column,Column
,Leasehold,,Leasehold,Motor,fittings &,Work in,
,land,Buildings,improvements,vehicles,equipment,progress,Total
,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
,"1,065,380","2,570,656","820,115","39,782","1,677,745","542,571","6,716,249"
,(683),"(7,799)","(19,303)","(1,055)","(28,443)","(5,448)","(62,731)"
,-,"1,701","18,370","24,927","483,219","376,621","904,838"
,-,-,"33,189",-,"245,975","(279,164)",-
,-,-,-,-,"70,330","(128,864)","(58,534)"
,-,-,"(30,365)","(1,311)","(86,073)","(67,643)","(185,392)"
,-,-,"19,791","1,233","77,284",-,"98,308"
,"(18,724)","(47,773)","(171,898)","(22,813)","(740,856)",-,"(1,002,064)"
,"1,045,973","2,516,785","669,899","40,763","1,699,181","438,073","6,410,674"
,"1,083,422","2,612,383","1,799,000","198,191","5,701,742","438,073","11,832,811"
,"(37,449)","(95,598)","(1,129,101)","(157,428)","(4,002,561)",-,"(5,422,137)"
,"1,045,973","2,516,785","669,899","40,763","1,699,181","438,073","6,410,674"
"At 31 December 2018
Cost
Revaluation surplus
Cost or valuation",,,,,,,
,"432,321","2,028,719","1,799,000","198,191","5,701,742","438,073","10,598,046"
,"651,101","583,664",-,-,-,-,"1,234,765"
,"1,083,422","2,612,383","1,799,000","198,191","5,701,742","438,073","11,832,811"
