Standard/ Interpretation,Key Requirements,"Applicable for financial
years beginning on/after"
"Amendment to IAS 1,
Presentation of items of other
comprehensive income (OCI)","The main change resulting from these amendments is a requirement for entities
to group items presented in ‘other comprehensive income’ (OCI) on the basis
of whether they are potentially classifiable to profit or loss subsequently
(reclassification adjustments). The Group has applied the amendments to IAS 1 for
the first time in the current year. Other than the above presentation changes, the
application of the amendment does not result in any impact on the profit and loss,
other comprehensive income and total comprehensive income.",1-Jul-2012
"Amendment to IFRS 7, ‘Financial
instruments: Disclosures’, on
asset and liability offsetting.","This amendment includes new disclosures to facilitate comparison between those
entities that prepare IFRS financial statements to those that prepare financial
statements in accordance with US GAAP. As the Group does not have any offsetting
arrangements in place, the application has had no impact on the disclosures or on
the amounts recognised in the consolidated financial statements.",1-Jan-2013
"IFRS 10, ‘Consolidated financial
statements’","IFRS 10 builds on existing principles by identifying the concept of control as the
determining factor in whether an entity should be included within the consolidated
financial statements of the parent company. Additional guidance is given to explain
when an investor has control over an investee. The application of this standard has
had no impact on the financial statements of the Group as the Bank has met the
definition of control over the subsidiaries included in the consolidated financial
statements.",1-Jan-2013
"IFRS 11, ‘Joint arrangements’","IFRS 11 focuses on the rights and obligations of the parties to the arrangement
rather than its legal form. There are two types of joint arrangements: joint
operations and joint ventures. Joint operations arise where the investors have rights
to the assets and obligations for the liabilities of an arrangement. A joint operator
accounts for its share of the assets, liabilities, revenue and expenses. Joint ventures
arise where the investors have rights to the net assets of the arrangement; joint
ventures are accounted for under the equity method. Proportional consolidation
of joint arrangements is no longer permitted. The application of this standard has
no material impact on the financial statements of the Group as the current joint
operation with Nation Media Group on the ‘ Nation Hela prepaid card programme’,
is not significant and meets the criteria of a joint operation. The financial statements
therefore include only the Group’s share of assets and liabilities in the Nation Hela
card operation.",1-Jan-2013
