Branch to be Merged,Receiving Branch,Last Date of Operation
Jamhuri Street Branch,Malindi Branch,30 June 2021
The Oval Digital Lobby,Westgate Branch,30 June 2021
9 West Branch,Westgate Branch,30 June 2021
Kago Street Branch,Eldoret Branch,30 June 2021
Garden City Branch,Thika Road Mall Branch,30 September 2021
Eastleigh Branch,Madina Mall Branch,30 October 2021
