Topic,Metric,2025,Location,Page,Source
"Systemic Risk
Managementw","Global Systemically
Important Bank (GSIB)
score, by category","Due to DTB Group’s operations being regionally focused, the Bank is currently not classified
as a Globally Systemically Important Bank (GSIB) under the Basel Committee on Banking
Supervision (BCBS) methodology. There are current cross-jurisdictional and size complexity
factors that restrict the Bank from being classified to get a GSIB score.",,,"FN-CB-
550a.1"
,"Description of approach
to integrate results of
mandatory and voluntary
stress tests into capital
adequacy planning, long-
term corporate strategy
and other business
activities","For detailed disclosures, please refer to the ‘DTB Risk
Management’ section of this report.","DTB Risk
Management",108,"FN-CB-
550a.2"
,"Number of checking
and savings accounts by
segment: (a) personal and
(b) small business","(a) Personal: 944,351
(b) Small Business: 83,319
-",,248,"FN-CB-
000.A"
,"Value of checking and
savings accounts by
segment: (a) personal and
(b) small busines","(a) Personal: KES 89,287,634,082.78
(b) Small Business: KES 48,868,578,660.20
-",,248,
,"Number of loans by
segment: (a) personal, (b)
small business, and (c)
corporateate","(a) Personal: 4 561
(b) Small Business: 744
(c) Corporate: 644",,248,
,"Value of loans by segment:
(a) personal, (b) small
business, and (c) corporate","(a) Personal: KES 18 382 758 294.04
(b) Small Business: KES 70 208 803 451.22
(c) Corporate: KES 261 259 815 059.88",,248,"FN-CB-
000.B"
