Group,Column,Column,Column,Column,Kenya,Column,Column,Column
Mvt,"FY
2021","H1
2021","H1
2022",,"FY
2021","H1
2021","H1
2022",Mvt
13.3%,20.0,9.8,11.1,Net Interest Income,12.7,6.5,7.1,9.1%
14.0%,6.3,3.3,3.8,Total Non- Interest Income,4.1,2.3,2.3,2.1%
13.5%,26.3,13.1,14.9,Gross Operating Income,16.8,8.8,9.4,7.3%
16.5%,12.3,6.0,6.9,Operating Expenses,6.6,3.2,3.8,16.5%
11.0%,14.2,7.2,8.0,"Operating Profit Before
Provisions",10.5,5.5,5.6,1.9%
2.1%,7.6,2.3,2.4,Loan Loss Provision,5.8,1.5,1.6,3.6%
15.3%,6.6,4.9,5.6,Profit Before Tax (PBT),4.7,4.0,4.1,1.3%
25.8%,4.4,3.2,4.0,Profit After Tax (PAT),3.0,2.5,2.7,8.3%
