Branch to be Merged,Receiving Branch,Last Date of Operation
Jamhuri Street Branch,Malindi Branch,Merged on 30 June 2021
The Oval Digital Lobby,Westgate Branch,Merged on 30 June 2021
9 West Branch,Westgate Branch,Merged on 30 June 2021
Kago Street Branch,Eldoret Branch,Merged on 30 June 2021
Garden City Branch,Thika Road Mall Branch,30 September 2021
Eastleigh Branch,Madina Mall Branch,30 October 2021
