"Share
capital","Share
premium",Other reserves,"Retained
earnings","Proposed
dividend",Total
Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
"1,118,409","9,006,569","1,219,020","45,384,579","838,807","57,567,384"
-,-,-,"4,519,194",-,"4,519,194"
-,-,"(3,526,050)",-,-,"(3,526,050)"
-,-,"(1,289,691)",-,-,"(1,289,691)"
-,-,"(30,408)","30,408",-,-
-,-,"4,561","(4,561)",-,-
-,-,"(154,948)",-,-,"(154,948)"
-,-,"(4,996,536)","4,545,041",-,"(451,495)"
-,-,-,-,"(838,807)","(838,807)"
-,-,-,"(1,398,011)","1,398,011",-
-,-,-,"(1,398,011)","559,204","(838,807)"
"1,118,409","9,006,569","(3,777,516)","48,531,609","1,398,011","56,277,082"
