"2004 2003
Shs '000 Shs'OOO
60,563 46,341
691 9,890
14,983 8,634"
"76,237 64,865"
"240,235 204,106"
"72,071 61,232
(688) (749)
4,854 4,382"
"76,237 64,865"
"163,998 139,241"
"99,375 91,094"
1.65 1.53
