2016,2015,2016,2015
Shs’000,Shs’000,Shs’000,Shs’000
"70,129,916","58,311,968","49,513,844","38,498,143"
"23,426,777","19,745,273","10,181,507","8,059,517"
"144,546,947","115,994,616","109,904,552","79,671,046"
"238,103,640","194,051,857","169,599,903","126,228,706"
"15,366,518","7,334,398","15,653,093","7,812,816"
"2,209,284","1,072,000","494,131","336,588"
"17,575,802","8,406,398","16,147,224","8,149,404"
-,-,"79,560","79,560"
"83,085","325,268","36,073","289,790"
"984,694","1,259,362","833,268","1,045,029"
"534,496","324,268",-,-
"574,590","706,737","259,921","405,958"
"162,559","118,443","141,396","116,892"
"1,391,423","1,677,228","1,088,615","1,320,455"
"3,730,847","4,411,306","2,438,833","3,257,684"
"5,539,322","3,637,016","4,787,041","2,727,436"
-,"1,845,000",-,"1,845,000"
"259,360","295,982","230,843","192,011"
"(597,744)","(520,869)","(569,679)","(520,869)"
"186,616","282,193","3,515","543,463"
"5,387,554","5,539,322","4,451,720","4,787,041"
"2,148,052","2,052,673",-,-
"50,138","4,745",-,-
"44,039","90,634",-,-
"2,242,229","2,148,052",-,-
"7,629,783","7,687,374","4,451,720","4,787,041"
