"45,793,941","23,426,521","74,459,514","68,992,974","25,837,706","238,510,656"
"97,357,366","34,805,333","37,634,733","11,641,906","2,815,913","184,255,251"
"(51,563,425)","(11,378,812)","36,824,781","57,351,068","23,021,793","54,255,405"
"11,749,671","1,910,684","899,706","17,228",856,"14,578,145"
"1,000,000","17,140,530","15,476,202","2,945,641",-,"36,562,373"
"4,973,737",-,-,-,-,"4,973,737"
"7,021,915","24,772,373","37,793,701","45,760,670","14,992,093","130,340,752"
-,-,-,-,"3,392,468","3,392,468"
-,-,"119,889","115,783",-,"235,672"
"1,483,819",-,-,-,-,"1,483,819"
"26,229,142","43,823,587","54,289,498","48,839,322","18,385,417","191,566,966"
"71,124,548","38,406,903","18,085,100","346,305","17,210","127,980,066"
"8,149,404",-,-,-,-,"8,149,404"
-,"3,530,411","11,292,585","9,809,640","1,032,704","25,665,340"
"2,851,726",-,-,-,-,"2,851,726"
"82,125,678","41,937,314","29,377,685","10,155,945","1,049,914","164,646,536"
"(55,896,536)","1,886,273","24,911,813","38,683,377","17,335,503","26,920,430"
"27,973,767","15,858,924","49,020,071","45,255,977","20,537,000","158,645,739"
"63,287,356","28,073,350","16,997,294","8,716,697","1,599,191","118,673,888"
"(35,313,589)","(12,214,426)","32,022,777","36,539,280","18,937,809","39,971,851"
