BANK,Column
"Sep. 2015 Jun. 2015 Mar. 2015 Dec. 2014 Sep. 2014
Shs 000 Shs 000 Shs 000 Shs 000 Shs 000
Unaudited Unaudited Audited Unaudited Unaudited",
"1,763,640
205,679","1 ,497,243 1,370,503 1,199,140 1,246,249
1 92,031 155,513 130,728 133,170"
"1,557,961
1,557,961","1 ,305,212 1,214,990 1,068,412 1,113,079
1 ,305,212 1,214,990 1,068,412 1,113,079"
-,- - - -
-,- - - -
-,- - - -
"3,099,954
928,877","2 ,785,478 2,580,470 2,894,935 2,677,824
8 20,563 690,270 485,234 395,964"
"4,028,831","3 ,606,041 3,270,740 3,380,169 3,073,788"
"23,093,687
28,225,375
-","1 9,780,618 19,382,629 19,335,716 16,101,421
3 2,003,178 26,474,904 24,112,184 27,813,399
- - -"
"51,319,062","5 1,783,796 45,857,533 43,447,900 43,914,820"
,"2 3,450,964 22,786,362 22,245,196 20,228,489
1 ,000,000 1,000,000 1,000,000 1,000,000"
"24,004,747",
"1,000,000",
"23,004,747","2 2,450,964 21,786,362 21,245,196 19,228,489"
"5,219,122",
"29,223,870",
"167,211,926",
22.0%,
8.0%,
14.0%,
14.4%,
10.5%,
3.9%,
17.5%,
14.5%,
3.0%,
30.0%,
20.0%,
10.0%,
